1521, 27.00,592,629
21575, 27.00,604,648
41616, 27.00,613,664
61658, 26.00,622,675
81698, 25.00,629,683
101739, 25.00,636,691
121781, 24.00,642,698
141821, 24.00,645,702
161863, 23.00,648,705
181904, 23.00,650,707
201945, 22.00,652,709
221986, 22.00,653,711
242027, 22.00,655,712
262068, 22.00,656,713
282109, 21.00,657,714
302150, 21.00,658,715
331259, 21.00,658,716
351301, 21.00,659,716
371342, 21.00,659,717
391384, 20.00,660,717
441656, 20.00,660,718
497968, 20.00,661,718
518009, 20.00,660,718
550147, 20.00,661,718
691090, 19.00,661,718
711363, 20.00,661,718
731584, 19.00,661,718
1649370, 19.00,660,718
1669523, 19.00,653,712
1689624, 19.00,675,734
1709668, 18.00,692,754
1729713, 17.00,709,771
1749756, 16.00,723,784
1769801, 16.00,734,795
1789845, 15.00,742,804
1809889, 14.00,748,810
1829934, 14.00,753,814
1849977, 13.00,757,818
1870021, 12.00,762,821
1890066, 12.00,765,824
1910110, 11.00,767,827
1930153, 10.00,769,828
1950198, 10.00,772,830
1970242,  9.00,773,831
1990286,  9.00,775,833
2010338,  9.00,777,834
2030383,  8.00,778,835
2053449,  8.00,779,836
2073493,  8.00,780,836
2093537,  7.00,779,836
2113582,  7.00,779,835
2145716,  7.00,778,836
2165761,  7.00,779,836
2185804,  7.00,781,837
2205848,  6.00,783,838
2225892,  6.00,783,839
2245937,  6.00,784,840
2275049,  6.00,785,840
2295093,  6.00,784,840
2315137,  6.00,783,840
2335181,  5.00,784,840
2367315,  5.00,785,840
2402472,  5.00,785,841
2422517,  5.00,786,841
2442561,  5.00,787,842
2462605,  5.00,788,843
2482657,  5.00,789,843
2502701,  5.00,789,844
2525767,  5.00,789,843
2545812,  5.00,789,844
2583992,  5.00,789,843
2604036,  5.00,789,844
2624080,  5.00,790,844
2710621,  5.00,789,844
2733688,  5.00,789,843
2771868,  5.00,789,844
2791912,  5.00,790,844
2811956,  5.00,791,845
2832001,  4.00,791,845
2873202,  4.00,791,846
2893247,  4.00,791,845
2976765,  4.00,790,844
3002857,  4.00,790,845
3022904,  4.00,790,844
3082243,  5.00,790,844
3102286,  4.00,790,845
3122330,  4.00,790,844
3142383,  4.00,789,844
3171494,  4.00,790,843
3191539,  4.00,789,844
3211583,  4.00,790,844
3261853,  4.00,791,844
3281897,  4.00,791,845
3314032,  4.00,790,844
3334076,  4.00,791,844
3354121,  4.00,791,845
3383232,  4.00,792,845
3406299,  4.00,792,846
3435411,  4.00,792,845
3455455,  4.00,792,846
