1058, 25.00,621,670
21112, 25.00,622,682
41153, 25.00,621,677
61194, 25.00,621,682
81235, 25.00,622,682
101276, 25.00,621,682
121318, 24.00,621,681
141359, 24.00,620,680
161400, 24.00,620,681
184464, 24.00,620,683
204505, 24.00,620,680
224546, 24.00,620,678
244587, 24.00,620,682
264629, 24.00,620,681
293737, 24.00,619,679
313779, 24.00,619,680
333819, 24.00,620,681
353861, 24.00,617,680
373902, 24.00,619,681
393944, 24.00,618,678
413984, 24.00,617,680
434026, 24.00,618,679
454067, 24.00,618,680
474114, 24.00,618,679
494155, 24.00,616,679
514196, 24.00,617,679
537260, 24.00,617,678
557301, 24.00,617,679
577342, 24.00,618,679
597384, 24.00,617,682
617424, 24.00,617,679
640488, 24.00,617,678
660530, 24.00,617,679
680571, 24.00,617,680
700612, 24.00,616,677
720653, 24.00,616,679
740695, 24.00,616,678
760735, 24.00,616,675
780777, 24.00,616,676
800818, 24.00,616,679
